trial,phase_distance,phase_0,phase_1,phase_2,phase_3
221,2.7698861534404746,2.2507908835271524e-06,0.43896116330733187,0.4020747285438153,0.052109052049802686
222,3.0198644039400557,2.2507883846461094e-06,0.04419070180849359,0.1850461968764528,0.01596658512049706
223,1.531005142346928,2.2507908835271524e-06,0.6307361703504166,0.03220157966652535,0.2767431168600654
224,2.0397031030965613,2.2507908835271524e-06,0.818649228809334,0.8573858489726294,0.37637914354607105
225,2.164278068133998,2.2507883846461094e-06,0.28157769860455384,0.21427043988523,0.288283011034337
226,2.740213075605831,2.2507908835271524e-06,0.6707886048680066,0.6198894949756968,0.8337647780961429
227,2.731499118369905,2.2507908835271524e-06,0.09367513049936325,0.2175758532607493,0.7661234488501125
228,3.0987505283681283,2.2507908835271524e-06,0.9807350599768164,0.4741610307315392,0.2785469476633379
229,2.2409907907274214,2.2507908835271524e-06,0.6421030944727057,0.9127055781974334,0.02074005509874931
230,2.734673311108385,2.2507908835271524e-06,0.9652844110023406,0.06932755483210519,0.8667526435721157
231,2.3812961476255836,2.2507896340869776e-06,0.33098858670976317,0.8541341152177828,0.05943724217373406
232,2.1840949348054215,2.2507883846461094e-06,0.6495352829569001,0.5842122276224482,0.5760573629264887
233,2.937346007136748,2.2507908835271524e-06,0.0298680142980863,0.48562029951341257,0.36564847982889553
234,2.931349765252781,2.2507908835271524e-06,0.8960633424150726,0.8115138471639813,0.07906389930918196
235,1.9948459283776754,2.2507883846461094e-06,0.4957490098315672,0.5325913583249492,0.4772016545116287
236,2.0824927738580414,2.2507908835271524e-06,0.5966672373087822,0.004403860879164826,0.9765364082087086
237,2.832701925700802,2.2507908835271524e-06,0.6669008314296128,0.3356878573440285,0.009893160787850054
238,2.344193552479113,2.2507908835271524e-06,0.966194894657929,0.19384365837687054,0.577304277486392
239,1.9739437017933006,2.2507908835271524e-06,0.11995698821697051,0.8939121432044885,0.48404521713011933
240,3.1342213085933714,2.2507908835271524e-06,0.9048872160748923,0.706360129282639,0.9014161993630035
241,1.9795145635105715,2.2507908835271524e-06,0.4327110776976178,0.40091928458612813,0.44515553507500144
242,2.61429065114048,2.2507908835271524e-06,0.7185530430649474,0.7621181169833041,0.8711130887185414
243,1.6385640321745105,2.2507908835271524e-06,0.34733086747771413,0.0025086707355089746,0.7366882519528717
244,2.4497337997813995,2.2507908835271524e-06,0.5781875408510333,0.5072628367852503,0.7313961928676017
245,1.5734162514495893,2.2507908835271524e-06,0.2806722044701294,0.9534530108595645,0.6449579738745923
246,0.6726746738488611,2.2507908835271524e-06,0.6052930601554447,0.023823266631344386,0.48560294769193135
